libraryId	experimentId	speciesId
SRX1812599	SRP075939	9913
SRX1812600	SRP075939	9913
SRX1812601	SRP075939	9913
SRX1812602	SRP075939	9913
SRX1812603	SRP075939	9913
SRX1812604	SRP075939	9913
SRX1812606	SRP075939	9913
SRX1812607	SRP075939	9913
SRX1812608	SRP075939	9913
SRX1812609	SRP075939	9913
SRX1812610	SRP075939	9913
SRX1812611	SRP075939	9913
SRX1812612	SRP075939	9913
SRX1812614	SRP075939	9913
SRX1812615	SRP075939	9913
SRX1812616	SRP075939	9913
SRX1812617	SRP075939	9913
SRX1812618	SRP075939	9913
SRX1812619	SRP075939	9913
SRX1812620	SRP075939	9913
SRX1812622	SRP075939	9913
SRX1812623	SRP075939	9913
SRX1812624	SRP075939	9913
SRX1812625	SRP075939	9913
SRX1812626	SRP075939	9913
SRX1812627	SRP075939	9913
SRX1812628	SRP075939	9913
SRX1812629	SRP075939	9913
SRX1812630	SRP075939	9913
SRX1812631	SRP075939	9913
SRX1812632	SRP075939	9913
SRX1812633	SRP075939	9913
SRX1812634	SRP075939	9913
SRX1812635	SRP075939	9913
SRX1812637	SRP075939	9913
SRX1812638	SRP075939	9913
SRX1812639	SRP075939	9913
SRX1812640	SRP075939	9913
SRX1812641	SRP075939	9913
SRX1812642	SRP075939	9913
SRX1812643	SRP075939	9913
SRX1812645	SRP075939	9913
SRX1812646	SRP075939	9913
SRX1812647	SRP075939	9913
SRX1812648	SRP075939	9913
SRX1812649	SRP075939	9913
SRX1812650	SRP075939	9913
SRX1812651	SRP075939	9913
SRX1812652	SRP075939	9913
SRX1812654	SRP075939	9913
SRX1812655	SRP075939	9913
SRX1812656	SRP075939	9913
SRX1812657	SRP075939	9913
SRX1812658	SRP075939	9913
SRX1812659	SRP075939	9913
SRX1812660	SRP075939	9913
SRX1812661	SRP075939	9913
SRX1812663	SRP075939	9913
SRX1812664	SRP075939	9913
SRX1812665	SRP075939	9913
SRX1812666	SRP075939	9913
SRX1812667	SRP075939	9913
SRX1812668	SRP075939	9913
SRX1812669	SRP075939	9913
SRX1812670	SRP075939	9913
SRX1812672	SRP075939	9913
SRX1812673	SRP075939	9913
SRX1812674	SRP075939	9913
SRX1812675	SRP075939	9913
SRX1812676	SRP075939	9913
SRX1812677	SRP075939	9913
SRX1812678	SRP075939	9913
SRX1812679	SRP075939	9913
SRX1812681	SRP075939	9913
SRX1812682	SRP075939	9913
SRX1812683	SRP075939	9913
SRX1812684	SRP075939	9913
SRX1812685	SRP075939	9913
SRX1812686	SRP075939	9913
SRX1812687	SRP075939	9913
SRX1812688	SRP075939	9913
SRX1812689	SRP075939	9913
SRX1812691	SRP075939	9913
SRX1812692	SRP075939	9913
SRX1812693	SRP075939	9913
SRX182779	SRP015370	9606
SRX182780	SRP015370	9606
SRX182784	SRP015370	9544
SRX182785	SRP015370	9544
SRX182786	SRP015370	9544
SRX182787	SRP015370	9544
SRX182788	SRP015370	10090
SRX182789	SRP015370	10090
SRX182790	SRP015370	10090
SRX182791	SRP015370	10090
SRX182792	SRP015370	10090
SRX182793	SRP015370	13616
SRX182794	SRP015370	13616
SRX182795	SRP015370	13616
SRX182796	SRP015370	13616
SRX182797	SRP015370	13616
SRX182798	SRP015370	9258
SRX182799	SRP015370	9258
SRX182802	SRP015370	9258
SRX182803	SRP015370	9031
SRX182804	SRP015370	9031
SRX182805	SRP015370	9031
SRX182806	SRP015370	9031
SRX182808	SRP015370	10090
SRX182809	SRP015370	10090
SRX182810	SRP015370	10090
SRX182812	SRP015370	9544
SRX182813	SRP015370	9544
SRX1832823	SRP013027	10090
SRX1832824	SRP013027	10090
SRX1833033	SRP013027	10090
SRX1833034	SRP013027	10090
SRX1833081	SRP013027	10090
