libraryId	experimentId	cellTypeName	cellTypeId	speciesId	platform	whiteList	protocol	protocolType	name_sample_id	infoOrgan	stageId	uberonId	sex	strain	libraryType	organism
SRX1788128	SRP075496	pancreatic A cell	CL:0000171	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788129	SRP075496	pancreatic A cell	CL:0000171	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788130	SRP075496	somatic cell	CL:0002371	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0001264	M	White	PAIRED	Homo_sapiens
SRX1788131	SRP075496	pancreatic A cell	CL:0000171	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788132	SRP075496	pancreatic A cell	CL:0000171	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788133	SRP075496	pancreatic A cell	CL:0000171	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788134	SRP075496	pancreatic A cell	CL:0000171	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788135	SRP075496	somatic cell	CL:0002371	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0001264	M	White	PAIRED	Homo_sapiens
SRX1788136	SRP075496	somatic cell	CL:0002371	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0001264	M	White	PAIRED	Homo_sapiens
SRX1788137	SRP075496	pancreatic A cell	CL:0000171	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788138	SRP075496	somatic cell	CL:0002371	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0001264	M	White	PAIRED	Homo_sapiens
SRX1788139	SRP075496	somatic cell	CL:0002371	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0001264	M	White	PAIRED	Homo_sapiens
SRX1788140	SRP075496	somatic cell	CL:0002371	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0001264	M	White	PAIRED	Homo_sapiens
SRX1788141	SRP075496	pancreatic ductal cell	CL:0002079	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788142	SRP075496	somatic cell	CL:0002371	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0001264	M	White	PAIRED	Homo_sapiens
SRX1788143	SRP075496	somatic cell	CL:0002371	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0001264	M	White	PAIRED	Homo_sapiens
SRX1788144	SRP075496	pancreatic ductal cell	CL:0002079	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788146	SRP075496	somatic cell	CL:0002371	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0001264	M	White	PAIRED	Homo_sapiens
SRX1788147	SRP075496	somatic cell	CL:0002371	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0001264	M	White	PAIRED	Homo_sapiens
SRX1788148	SRP075496	pancreatic ductal cell	CL:0002079	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788149	SRP075496	pancreatic ductal cell	CL:0002079	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788150	SRP075496	pancreatic A cell	CL:0000171	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788151	SRP075496	pancreatic ductal cell	CL:0002079	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788152	SRP075496	somatic cell	CL:0002371	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0001264	M	White	PAIRED	Homo_sapiens
SRX1788153	SRP075496	pancreatic ductal cell	CL:0002079	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
